ls_code	ls_code_raw	ls_code_base	book_no	volume	title	status	status_gloss	vedic_marked	shares_book_with_previous	citation_count	total_pages	volunteer	started	finished	issue_repo	issue_no	issue_url	index_posted	scan_dir	scan_dir_canonical	scan_spelling_ok	scan_url	scan_pages_url	scan_repo_exists	scan_repo_size_kb	scan_repo_pushed_at	scan_audit_note	public_link	in_pwgbib	dict_citations	dict_citations_key	count_ratio	edition_qualified	ru_subset_refs	ru_subset_scan	ru_match_key	resolver_repos	scan_wired	sheet_row_no
VOP.	VOP.	VOP.	28		VOPADEVA'S Grammatik, Bohtlingk	done	index built, reviewed, and posted			5149	489	@angalinde	2025-02-27	2025-02-28	PWG	110	https://github.com/sanskrit-lexicon/PWG/issues/110	2025-02-28	mugdhabodha	mugdhabodha	yes	https://github.com/sanskrit-lexicon-scans/mugdhabodha	https://sanskrit-lexicon-scans.github.io/mugdhabodha/	true	230318	2025-03-04	Exact match. Oldest push of the 37 (Mar 2025).	2025-03-05	VOP.	1441	VOP.	3.57		280	276	VOP.	mugdhabodha	yes	11
H.	H.	H.	13		HEMACANDRA'S ABHIDHĀNACINTĀMAṆI : Bohtlingk	done	index built, reviewed, and posted			16148	465	@IrinaKonstant (@195629012025)	2025-02-13	2025-02-25	PWG	104	https://github.com/sanskrit-lexicon/PWG/issues/104	2025-02-26	abch2	abch2	yes	https://github.com/sanskrit-lexicon-scans/abch2	https://sanskrit-lexicon-scans.github.io/abch2/	true	249102	2025-03-08	Exact match. Described as Abhidhanacintamani + Abhidhanacintamanipariśiṣṭa, Bohtlingk 1847 edition. Sibling abch (v1) exists but is not tracked.	2025-03-09	H.	6278	H.	2.57		130	129	H.	abch2	yes	12
H. ś.	H. ś.	H. ś.	14		(Same book as 13 above) die Śeṣa zu HEMACANDRA'S ABHIDHĀNACINTĀMAṆI	done	index built, reviewed, and posted		yes	1301		@IrinaKonstant (@195629012025)	2025-02-25	2025-02-26	PWG	104	https://github.com/sanskrit-lexicon/PWG/issues/104	2025-02-27	abch2	abch2	yes	https://github.com/sanskrit-lexicon-scans/abch2	https://sanskrit-lexicon-scans.github.io/abch2/	true	249102	2025-03-08	Exact match. Described as Abhidhanacintamani + Abhidhanacintamanipariśiṣṭa, Bohtlingk 1847 edition. Sibling abch (v1) exists but is not tracked.	2025-03-09	H. Ś.	976	H. ś.	1.33		3	3	H. ś.	abch2	yes	13
MED.	MED.	MED.	16		MEDINĪKOṢA 1807 Calc. ed.	done	index built, reviewed, and posted			12990	601	@OFar0101	2025-02-17	2025-02-26	PWG	105	https://github.com/sanskrit-lexicon/PWG/issues/105	2025-02-26	medini	medini	yes	https://github.com/sanskrit-lexicon-scans/medini	https://sanskrit-lexicon-scans.github.io/medini/	true	281809	2025-03-09	Exact match. Described as Medinikośa, Trikandaśeṣa and Haravali; also carries Amarakośa for possible future use.	2025-03-09	MED.	30	MED.	433.0		1	0	MED.		yes	14
TRIK.	TRIK.	TRIK.	17		(Same book as 16 above) TRIKĀṆḌAŚEṢA 1807 ed. Calc.	done	index built, reviewed, and posted		yes	8426		@OFar0101	2025-02-17	2025-02-27	PWG	105	https://github.com/sanskrit-lexicon/PWG/issues/105	2025-02-27	medini	medini	yes	https://github.com/sanskrit-lexicon-scans/medini	https://sanskrit-lexicon-scans.github.io/medini/	true	281809	2025-03-09	Exact match. Described as Medinikośa, Trikandaśeṣa and Haravali; also carries Amarakośa for possible future use.	2025-03-09	TRIK.	4886	TRIK.	1.72		66	65	TRIK.	medini	yes	15
HĀR.	HĀR.	HĀR.	18		(Same book as 16 above) HĀRĀVALĪ 1807 Calc. ed.	done	index built, reviewed, and posted		yes	1865		@OFar0101	2025-02-17	2025-02-26	PWG	105	https://github.com/sanskrit-lexicon/PWG/issues/105	2025-02-26	medini	medini	yes	https://github.com/sanskrit-lexicon-scans/medini	https://sanskrit-lexicon-scans.github.io/medini/	true	281809	2025-03-09	Exact match. Described as Medinikośa, Trikandaśeṣa and Haravali; also carries Amarakośa for possible future use.	2025-03-09	HĀR.	911	HĀR.	2.05		4	4	HĀR.	medini	yes	16
HALĀY.	HALĀY.	HALĀY.	27		HALĀYUDHA	done	index built, reviewed, and posted			5159	417	@angalinde	2025-03-03	2025-03-09	PWG	121	https://github.com/sanskrit-lexicon/PWG/issues/121	2025-03-09	armh2	armh2	yes	https://github.com/sanskrit-lexicon-scans/armh2	https://sanskrit-lexicon-scans.github.io/armh2/	true	190070	2025-03-10	Exact match. Described as Abhidhanaratnamala of Halayudha, link target for PWG/PW. Sibling armh (v1) exists but is not tracked.	2025-03-12	HALĀY.	1209	HALĀY.	4.27		29	26	HALĀY.	armh2	yes	17
VARĀH. BṚH. S.	VARĀH. BṚH. S.	VARĀH. BṚH. S.	2		BRIHATSAMHITA	done	index built, reviewed, and posted			9174	673	@OFar0101	2025-01-29	2025-02-07	PWG	92	https://github.com/sanskrit-lexicon/PWG/issues/92	2025-02-13	brihatsam	brihatsam	yes	https://github.com/sanskrit-lexicon-scans/brihatsam	https://sanskrit-lexicon-scans.github.io/brihatsam/	true	270362	2025-08-31	Exact match, public, Pages enabled.	2025-03-13	VARĀH. BṚH. S.	4384	VARĀH. BṚH. S.	2.09		537	516	VARĀH. BṚH. S.	brihatsam	yes	18
MĀRK. P.	MĀRK. P.	MĀRK. P.	25		MĀRKĀṆḌEYAPURĀṆA	done	index built, reviewed, and posted			5436	693	@OFar0101	2025-02-27	2025-03-10	PWG	122	https://github.com/sanskrit-lexicon/PWG/issues/122	2025-03-10	markandeyapurana	markandeyapurana	yes	https://github.com/sanskrit-lexicon-scans/markandeyapurana	https://sanskrit-lexicon-scans.github.io/markandeyapurana/	true	34412	2025-07-11	Exact match. One of the smaller repos (~34 MB).	2025-03-17	MĀRK. P.	2389	MĀRK. P.	2.28		355	355	MĀRK. P.	markandeyapurana	yes	19
H. an.	H. an.	H. an.	15a		HEMACANDRA'S ANEKĀRTHASAM̃GRAHA 1807 Calc. ed.	done	index built, reviewed, and posted			9781	377	@IrinaKonstant	2025-03-04	2025-03-09	PWG	123	https://github.com/sanskrit-lexicon/PWG/issues/123	2025-03-10	anekarthasamgraha	anekarthasamgraha	yes	https://github.com/sanskrit-lexicon-scans/anekarthasamgraha	https://sanskrit-lexicon-scans.github.io/anekarthasamgraha/	true	226104	2025-07-24	Exact match, public, Pages enabled.	2025-03-18	H. an.	1907	H. an.	5.13		38	37	H. an.	anekarthasamgraha	yes	20
an.	an.	an.	15b		(Same book as 15a above) name in short-form	nr-alt-name	not required -- an alternate abbreviation of another row		yes	1797		@IrinaKonstant	2025-03-04	2025-03-09	PWG	123	https://github.com/sanskrit-lexicon/PWG/issues/123	2025-03-10	anekarthasamgraha	anekarthasamgraha	yes	https://github.com/sanskrit-lexicon-scans/anekarthasamgraha	https://sanskrit-lexicon-scans.github.io/anekarthasamgraha/	true	226104	2025-07-24	Exact match, public, Pages enabled.	2025-03-18	an.	20	an.	89.85		10	10	an.	anekarthasamgraha	yes	21
ŚĀK.	ŚĀK.	ŚĀK.	24		ŚĀKUNTALA Bohtlingk ed.	done	index built, reviewed, and posted			5500	427	@grigoriyt1		2025-03-21	PWG	125	https://github.com/sanskrit-lexicon/PWG/issues/125	2025-03-21	shakuntala	shakuntala	yes	https://github.com/sanskrit-lexicon-scans/shakuntala	https://sanskrit-lexicon-scans.github.io/shakuntala/	true	204996	2025-07-12	Exact match, public, Pages enabled.	2025-03-22	ŚĀK.	2679	ŚĀK.	2.05		440	439	ŚĀK.	shakuntala	yes	22
BHAG.	BHAG.	BHAG.	30		BHAGAVADGĪTĀ 1823 Schlegel ed.	done	index built, reviewed, and posted			2275	225	@IrinaKonstant	2025-03-21	2025-03-22	PWG	129	https://github.com/sanskrit-lexicon/PWG/issues/129	2025-03-22	bhagavadgita	bhagavadgita	yes	https://github.com/sanskrit-lexicon-scans/bhagavadgita	https://sanskrit-lexicon-scans.github.io/bhagavadgita/	true	138993	2025-07-09	Exact match. Distinct from gitagov (also tracked) and from bhagp_bom/bhagp_bur (untracked).	2025-03-31	BHAG.	1372	BHAG.	1.66		205	204	BHAG.	bhagavadgita	yes	23
R. (Bomb.)	R. (Bomb.) vol.1	R.	31a	1	RĀMĀYAṆA (Bomb. ed.) 1859 vol. i	done	index built, reviewed, and posted				702	@IrinaKonstant	2025-03-24	2025-03-27	PWG	75	https://github.com/sanskrit-lexicon/PWG/issues/75	2025-03-27	ramayanabom	ramayanabom	yes	https://github.com/sanskrit-lexicon-scans/ramayanabom	https://sanskrit-lexicon-scans.github.io/ramayanabom/	true	935101	2025-04-04	Wired via 'R. ed. Bomb.' / bare 'R. 7,x,y'. The tracker's display label 'R. (Bomb.)' itself resolves to None -- a label mismatch, not a missing target.	2025-04-04	R.				yes	2970	2969	R.	ramayanabom;ramayanagorr;ramayanaschl	yes	24
R. (Bomb.)	R. (Bomb.) vol.2	R.	31b	2	RĀMĀYAṆA (Bomb. ed.) 1859 vol. ii	done	index built, reviewed, and posted				751	@angalinde	2025-03-24	2025-03-29	PWG	75	https://github.com/sanskrit-lexicon/PWG/issues/75	2025-03-29	ramayanabom	ramayanabom	yes	https://github.com/sanskrit-lexicon-scans/ramayanabom	https://sanskrit-lexicon-scans.github.io/ramayanabom/	true	935101	2025-04-04	Wired via 'R. ed. Bomb.' / bare 'R. 7,x,y'. The tracker's display label 'R. (Bomb.)' itself resolves to None -- a label mismatch, not a missing target.	2025-04-04	R.				yes	2970	2969	R.	ramayanabom;ramayanagorr;ramayanaschl	yes	25
R. (Bomb.)	R. (Bomb.) vol.3	R.	31c	3	RĀMĀYAṆA (Bomb. ed.) 1859 vol. iii	done	index built, reviewed, and posted				818	@Azanuka2412	2025-03-24	2025-03-27	PWG	75	https://github.com/sanskrit-lexicon/PWG/issues/75	2025-03-27	ramayanabom	ramayanabom	yes	https://github.com/sanskrit-lexicon-scans/ramayanabom	https://sanskrit-lexicon-scans.github.io/ramayanabom/	true	935101	2025-04-04	Wired via 'R. ed. Bomb.' / bare 'R. 7,x,y'. The tracker's display label 'R. (Bomb.)' itself resolves to None -- a label mismatch, not a missing target.	2025-04-04	R.				yes	2970	2969	R.	ramayanabom;ramayanagorr;ramayanaschl	yes	26
PAÑCAT.	PAÑCAT.	PAÑCAT.	3		PAÑCATANTRA 1848 Kosegarten ed.	done	index built, reviewed, and posted			8170	289	@grigoriyt1		2025-03-28	PWG	86	https://github.com/sanskrit-lexicon/PWG/issues/86	2025-03-28	pantankose	pantankose	yes	https://github.com/sanskrit-lexicon-scans/pantankose	https://sanskrit-lexicon-scans.github.io/pantankose/	true	199708	2025-07-11	Exact match. Untracked sibling pantankoseorn also exists.	2025-04-07	PAÑCAT.					482	481	PAÑCAT.	pantankose	yes	27
VS.	★VS.	VS.	23		VĀJASANEYISAM̃HITĀ	done	index built, reviewed, and posted	yes		6078	1098	@grigoriyt1		2025-03-11	PWG	124	https://github.com/sanskrit-lexicon/PWG/issues/124	2025-03-11	vajasasa	vajasasa	yes	https://github.com/sanskrit-lexicon-scans/vajasasa	https://sanskrit-lexicon-scans.github.io/vajasasa/	true	314846	2025-11-08	Exact match. Second-most-recently pushed of the 37 (Nov 2025).	2025-04-11	VS.	2646	VS.	2.3		241	240	VS.	vajasasa	yes	28
TS.	★TS. (2 vol.s)	TS.	26	2 vols	TAITTIRĪYASAM̃HITĀ	done	index built, reviewed, and posted	yes		5387	846	@OFar0101	2025-03-10	2025-04-01	PWG	134	https://github.com/sanskrit-lexicon/PWG/issues/134	2025-04-01	taittiriyas	taittiriyas	yes	https://github.com/sanskrit-lexicon-scans/taittiriyas	https://sanskrit-lexicon-scans.github.io/taittiriyas/	true	463183	2025-07-12	Resolves only at 4-parameter arity; 'TS. 1,2,3' and 'TS. 1,2' return None. The 3-param helper exists but its dispatch branch is unreachable (prefix-map value never equals the tested literal).	2025-04-14	TS.	2736	TS.	1.97		353	352	TS.	taittiriyas	partial	29
RAGH. (Calc. ed.)	RAGH. (Calc. ed.)	RAGH.	1b		RAGHUVAM̃SA 1832 Calc. ed.	done	index built, reviewed, and posted				655	@angalinde	2025-04-08	2025-04-12	PWG	109	https://github.com/sanskrit-lexicon/PWG/issues/109	2025-04-12	raghuvamsacalc	raghuvamsacalc	yes	https://github.com/sanskrit-lexicon-scans/raghuvamsacalc	https://sanskrit-lexicon-scans.github.io/raghuvamsacalc/	true	282564	2025-04-15	Exact match. The 'calc' variant paired with raghuvamsa; org has the same pattern for rajatar/rajatarcalc and mbhcalc.	2025-04-16	RAGH.				yes	566	566	RAGH.	raghuvamsa	yes	30
RĀJA-TAR.	RĀJA-TAR.	RĀJA-TAR.	19		RĀJATARAṄGIṆĪ	done	index built, reviewed, and posted			7784	599	@sofia28000	2025-02-25	2025-04-01	PWG	135	https://github.com/sanskrit-lexicon/PWG/issues/135	2025-04-02	rAjatar	rajatar	NO	https://github.com/sanskrit-lexicon-scans/rajatar	https://sanskrit-lexicon-scans.github.io/rajatar/	true	258478	2025-05-13	Wired as lowercase 'rajatar'. The tracker writes 'rAjatar'; GitHub Pages paths are case-sensitive, so a viewer link built from the tracker spelling 404s. Tracker defect, not a wiring gap.	2025-04-25	RĀJA-TAR.	4126	RĀJA-TAR.	1.89		543	543	RĀJA-TAR.	rajatar;rajatarcalc	yes	31
BHAṬṬ.	BHAṬṬ. (2 vol.s)	BHAṬṬ.	43	2 vols	BHAṬṬIKĀVYA 1828 Calc. ed.	done	index built, reviewed, and posted			2561	1456	@angalinde	2025-04-15	2025-04-23	PWG	143	https://github.com/sanskrit-lexicon/PWG/issues/143	2025-04-23	bhattikavya	bhattikavya	yes	https://github.com/sanskrit-lexicon-scans/bhattikavya	https://sanskrit-lexicon-scans.github.io/bhattikavya/	true	196273	2025-07-09	Exact match, public, Pages enabled.	2025-04-27	BHAṬṬ.	1428	BHAṬṬ.	1.79		378	377	BHAṬṬ.	bhattikavya	yes	32
KĀTY. ŚR.	★KĀTY. ŚR.	KĀTY. ŚR.	21		KĀTYĀYANA'S ŚRAUTASŪTRĀṆI	done	index built, reviewed, and posted	yes		6734	1168	@AnnaRybakovaT	2025-03-28	2025-04-07	PWG	136	https://github.com/sanskrit-lexicon/PWG/issues/136	2025-04-07	katyasr	katyasr	yes	https://github.com/sanskrit-lexicon-scans/katyasr	https://sanskrit-lexicon-scans.github.io/katyasr/	true	611037	2025-09-09	Exact match. Large (~0.6 GB).	2025-05-07	KĀTY. ŚR.	1897	KĀTY. ŚR.	3.55		315	315	KĀTY. ŚR.	katyasr	yes	33
TBR.	★TBR. (3 vol.s)	TBR.	39	3 vols	TAITTIRĪYABRĀHMAṆA	done	index built, reviewed, and posted	yes		2929	2420	@OFar0101	2025-04-09	2025-04-25	PWG	144	https://github.com/sanskrit-lexicon/PWG/issues/144	2025-04-25	taittiriyabr	taittiriyabr	yes	https://github.com/sanskrit-lexicon-scans/taittiriyabr	https://sanskrit-lexicon-scans.github.io/taittiriyabr/	true	819656	2025-07-12	Resolves only at 4-parameter arity; 'TBR. 1,2,3' returns None with no fallback -- uppercase 'TBR.' is absent from the prefix map.	2025-05-07	TBR.	1600	TBR.	1.83		211	209	TBR.	taittiriyabr	partial	34
KUMĀRAS.	KUMĀRAS.	KUMĀRAS.	44		KUMĀRASAM̃BHAVA	done	index built, reviewed, and posted			2510	159	@OFar0101		2025-05-07	PWG	146	https://github.com/sanskrit-lexicon/PWG/issues/146	2025-05-07	kumaras	kumaras	yes	https://github.com/sanskrit-lexicon-scans/kumaras	https://sanskrit-lexicon-scans.github.io/kumaras/	true	121964	2025-07-10	Exact match, public, Pages enabled.	2025-05-13	KUMĀRAS.	1268	KUMĀRAS.	1.98		139	139	KUMĀRAS.	kumaras	yes	35
MĀLAV.	MĀLAV.	MĀLAV.	69		MĀLAVIKĀGNIMITRA	done	index built, reviewed, and posted			1076	128	@OFar0101		2025-05-08	PWG	149	https://github.com/sanskrit-lexicon/PWG/issues/149	2025-05-08	malavikagni	malavikagni	yes	https://github.com/sanskrit-lexicon-scans/malavikagni	https://sanskrit-lexicon-scans.github.io/malavikagni/	true	83292	2025-07-10	Exact match, public, Pages enabled.	2025-05-18	MĀLAV.	558	MĀLAV.	1.93		85	85	MĀLAV.	malavikagni	yes	36
MEGH.	MEGH.	MEGH.	50		MEGHADŪTA	done	index built, reviewed, and posted			2020	153	@OFar0101		2025-05-07	PWG	147	https://github.com/sanskrit-lexicon/PWG/issues/147	2025-05-07	meghasrnga	meghasrnga	yes	https://github.com/sanskrit-lexicon-scans/meghasrnga	https://sanskrit-lexicon-scans.github.io/meghasrnga/	true	62117	2025-09-18	Exact match. Among the smallest (~62 MB).	2025-05-22	MEGH.	945	MEGH.	2.14		114	114	MEGH.	meghasrnga	yes	37
ŚṚṄGĀRAT.	ŚṚṄGĀRAT.	ŚṚṄGĀRAT.	51		(Same book as 50 above) ŚṚṄGĀRATILAKA	done	index built, reviewed, and posted		yes	101		@OFar0101		2025-05-07	PWG	147	https://github.com/sanskrit-lexicon/PWG/issues/147	2025-05-07	meghasrnga	meghasrnga	yes	https://github.com/sanskrit-lexicon-scans/meghasrnga	https://sanskrit-lexicon-scans.github.io/meghasrnga/	true	62117	2025-09-18	Exact match. Among the smallest (~62 MB).	2025-05-22	ŚṚṄGĀRAT.					5	5	ŚṚṄGĀRAT.	meghasrnga	yes	38
BHARTṚ.	BHARTṚ.	BHARTṚ.	66		BHARTṚHARI (1833) BOHLEN ed.	done	index built, reviewed, and posted			1282	293	@OFar0101		2025-05-07	PWG	148	https://github.com/sanskrit-lexicon/PWG/issues/148	2025-05-07	bhartrhari	bhartrhari	yes	https://github.com/sanskrit-lexicon-scans/bhartrhari	https://sanskrit-lexicon-scans.github.io/bhartrhari/	true	245239	2025-08-04	Exact match, public, Pages enabled.	2025-05-27	BHARTṚ.	785	BHARTṚ.	1.63		70	69	BHARTṚ.	bhartrhari	yes	39
CAURAP.	CAURAP.	CAURAP.	67		(Same book as 66 above) CAURAPAÑCĀŚIKĀ, ed. BOHLEN	done	index built, reviewed, and posted		yes	405		@OFar0101		2025-05-07	PWG	148	https://github.com/sanskrit-lexicon/PWG/issues/148	2025-05-07	bhartrhari	bhartrhari	yes	https://github.com/sanskrit-lexicon-scans/bhartrhari	https://sanskrit-lexicon-scans.github.io/bhartrhari/	true	245239	2025-08-04	Exact match, public, Pages enabled.	2025-05-27	CAURAP.	182	CAURAP.	2.23		20	19	CAURAP.	bhartrhari	yes	40
MBh. (Bomb.)	MBh. (Bomb.) vol.1	MBh.	7a	1	MBh. (Bomb. ed.) 1864 vol. i	done	index built, reviewed, and posted				679	@ramray	2025-02-08	2025-02-21	PWK	84	https://github.com/sanskrit-lexicon/PWK/issues/84	2025-02-22	mbhbomb	mbhbomb	yes	https://github.com/sanskrit-lexicon-scans/mbhbomb	https://sanskrit-lexicon-scans.github.io/mbhbomb/	true	1694391	2025-07-16	Wired via uppercase 'MBH. ed. Bomb.' / bare 'MBH. n,n,n'. The tracker's mixed-case label 'MBh. (Bomb.)' resolves to None -- a label mismatch.	2025-06-05	MBH.				yes	5	0	MBh.		yes	41
MBh. (Bomb.)	MBh. (Bomb.) vol.2	MBh.	7b	2	MBh. (Bomb. ed.) 1864 vol. ii	done	index built, reviewed, and posted				643	@ramray		2025-03-27	PWK	84	https://github.com/sanskrit-lexicon/PWK/issues/84	2025-03-27	mbhbomb	mbhbomb	yes	https://github.com/sanskrit-lexicon-scans/mbhbomb	https://sanskrit-lexicon-scans.github.io/mbhbomb/	true	1694391	2025-07-16	Wired via uppercase 'MBH. ed. Bomb.' / bare 'MBH. n,n,n'. The tracker's mixed-case label 'MBh. (Bomb.)' resolves to None -- a label mismatch.	2025-06-05	MBH.				yes	5	0	MBh.		yes	42
MBh. (Bomb.)	MBh. (Bomb.) vol.3	MBh.	7c	3	MBh. (Bomb. ed.) 1864 vol. iii	done	index built, reviewed, and posted				881	@ramray		2025-03-27	PWK	84	https://github.com/sanskrit-lexicon/PWK/issues/84	2025-03-28	mbhbomb	mbhbomb	yes	https://github.com/sanskrit-lexicon-scans/mbhbomb	https://sanskrit-lexicon-scans.github.io/mbhbomb/	true	1694391	2025-07-16	Wired via uppercase 'MBH. ed. Bomb.' / bare 'MBH. n,n,n'. The tracker's mixed-case label 'MBh. (Bomb.)' resolves to None -- a label mismatch.	2025-06-05	MBH.				yes	5	0	MBh.		yes	43
MBh. (Bomb.)	MBh. (Bomb.) vol.4	MBh.	7d	4	MBh. (Bomb. ed.) 1864 vol. iv	done	index built, reviewed, and posted				837	@Azanuka2412	2025-02-24	2025-03-16	PWK	84	https://github.com/sanskrit-lexicon/PWK/issues/84	2025-03-16	mbhbomb	mbhbomb	yes	https://github.com/sanskrit-lexicon-scans/mbhbomb	https://sanskrit-lexicon-scans.github.io/mbhbomb/	true	1694391	2025-07-16	Wired via uppercase 'MBH. ed. Bomb.' / bare 'MBH. n,n,n'. The tracker's mixed-case label 'MBh. (Bomb.)' resolves to None -- a label mismatch.	2025-06-05	MBH.				yes	5	0	MBh.		yes	44
MBh. (Bomb.)	MBh. (Bomb.) vol.5	MBh.	7e	5	MBh. (Bomb. ed.) 1864 vol. v	done	index built, reviewed, and posted				1023	@Azanuka2412		2025-03-21	PWK	84	https://github.com/sanskrit-lexicon/PWK/issues/84	2025-03-21	mbhbomb	mbhbomb	yes	https://github.com/sanskrit-lexicon-scans/mbhbomb	https://sanskrit-lexicon-scans.github.io/mbhbomb/	true	1694391	2025-07-16	Wired via uppercase 'MBH. ed. Bomb.' / bare 'MBH. n,n,n'. The tracker's mixed-case label 'MBh. (Bomb.)' resolves to None -- a label mismatch.	2025-06-05	MBH.				yes	5	0	MBh.		yes	45
